,burglary,common assault,larceny,robbery - street,auto theft,agg. assault,larceny from auto,shooting,robbery - residence,robbery - commercial,arson,homicide,robbery - carjacking,rape
2014-11-27,,10,20,9,1,8,15,1,3,2,1.0,0.0,1.0,0.0
2014-11-28,,19,36,8,11,11,18,0,2,1,3.0,0.0,0.0,1.0
2014-11-29,,16,28,7,7,9,17,1,0,5,2.0,0.0,3.0,1.0
2014-11-30,,21,27,9,12,13,15,0,0,2,0.0,1.0,0.0,2.0
2014-12-01,,19,50,16,8,20,17,5,4,1,0.0,2.0,1.0,0.0
2014-12-02,,10,32,7,7,8,13,1,4,2,0.0,1.0,1.0,2.0
2014-12-03,,23,24,8,7,18,21,1,4,1,0.0,0.0,0.0,2.0
2014-12-04,,23,40,6,9,1,16,0,0,2,0.0,0.0,1.0,0.0
2014-12-05,,20,25,11,10,6,20,0,0,0,0.0,0.0,0.0,0.0
2014-12-06,,17,29,2,8,10,17,1,0,2,0.0,0.0,1.0,0.0
2014-12-07,,19,25,5,8,11,17,0,2,2,0.0,1.0,0.0,0.0
2014-12-08,,23,38,11,8,12,20,0,2,3,0.0,0.0,1.0,1.0
2014-12-09,,14,24,5,9,13,12,2,1,3,2.0,1.0,0.0,0.0
2014-12-10,,11,25,9,5,7,19,1,0,2,0.0,0.0,3.0,1.0
2014-12-11,,12,31,13,9,15,20,2,1,1,0.0,0.0,1.0,0.0
2014-12-12,,24,32,18,5,13,20,1,1,1,0.0,0.0,0.0,2.0
2014-12-13,,19,20,9,10,10,28,2,0,0,0.0,0.0,1.0,1.0
2014-12-14,,22,21,5,8,10,26,1,6,6,2.0,2.0,0.0,3.0
2014-12-15,,14,39,10,5,9,16,0,0,8,1.0,0.0,0.0,0.0
2014-12-16,,14,29,11,10,6,32,2,0,0,0.0,1.0,2.0,0.0
2014-12-17,,18,29,7,12,8,14,1,1,3,0.0,0.0,0.0,0.0
2014-12-18,,9,37,5,10,8,19,0,1,2,0.0,0.0,0.0,0.0
2014-12-19,,13,40,12,8,8,21,1,0,1,1.0,0.0,2.0,0.0
2014-12-20,,12,26,6,17,18,18,2,2,3,0.0,2.0,1.0,0.0
2014-12-21,,21,18,5,7,8,22,0,0,3,0.0,0.0,1.0,1.0
2014-12-22,,16,46,2,7,9,36,1,1,3,1.0,1.0,0.0,1.0
2014-12-23,,17,26,10,10,12,14,2,1,1,0.0,0.0,1.0,0.0
2014-12-24,,16,34,5,23,6,9,1,0,6,0.0,0.0,1.0,0.0
2014-12-25,,21,15,6,8,9,12,0,0,1,0.0,1.0,1.0,0.0
2014-12-26,,11,19,5,3,5,16,0,2,4,1.0,0.0,0.0,0.0
2014-12-27,,18,28,7,8,6,23,2,0,1,0.0,0.0,2.0,1.0
2014-12-28,,26,18,7,13,17,22,2,1,1,0.0,1.0,0.0,0.0
2014-12-29,,10,16,14,9,7,12,1,2,7,0.0,0.0,1.0,3.0
2014-12-30,,11,26,9,6,11,18,1,2,3,0.0,1.0,2.0,0.0
2014-12-31,,11,37,6,6,9,12,0,0,1,0.0,1.0,0.0,0.0
2015-01-01,,28,39,9,15,19,17,2,2,1,1.0,0.0,1.0,2.0
2015-01-02,,7,32,10,9,3,12,0,6,5,0.0,0.0,1.0,1.0
2015-01-03,,11,11,7,10,8,9,1,2,0,2.0,3.0,0.0,0.0
2015-01-04,,15,20,11,11,6,22,0,1,2,0.0,2.0,1.0,0.0
2015-01-05,,15,32,3,10,7,24,0,4,2,0.0,1.0,1.0,1.0
2015-01-06,,11,30,3,14,7,9,1,2,4,1.0,0.0,0.0,0.0
2015-01-07,,13,32,5,11,11,11,2,0,2,1.0,0.0,1.0,0.0
2015-01-08,,12,23,9,8,4,10,1,0,1,2.0,0.0,1.0,0.0
2015-01-09,,13,29,6,6,10,12,2,1,0,1.0,2.0,1.0,1.0
2015-01-10,,18,23,4,15,5,7,0,0,1,0.0,1.0,0.0,0.0
2015-01-11,,19,20,6,6,10,13,0,1,2,0.0,0.0,0.0,1.0
2015-01-12,,19,26,7,13,23,10,1,1,2,0.0,1.0,1.0,1.0
2015-01-13,,17,44,8,15,8,19,1,1,3,0.0,0.0,1.0,1.0
2015-01-14,,14,37,4,13,10,17,1,0,3,1.0,0.0,1.0,1.0
2015-01-15,,18,44,8,15,5,22,0,1,4,1.0,0.0,0.0,0.0
2015-01-16,,17,36,4,5,10,20,2,1,2,0.0,0.0,0.0,0.0
2015-01-17,,15,27,3,9,17,32,4,0,5,1.0,1.0,0.0,1.0
2015-01-18,,8,21,4,10,11,21,0,5,7,0.0,2.0,0.0,1.0
2015-01-19,,12,29,11,15,15,24,2,2,3,1.0,0.0,4.0,0.0
2015-01-20,,9,33,10,8,8,17,1,1,1,1.0,0.0,1.0,1.0
2015-01-21,,19,30,5,13,10,15,0,1,6,0.0,0.0,2.0,0.0
2015-01-22,,20,31,5,6,8,26,1,0,1,0.0,0.0,1.0,0.0
2015-01-23,,19,35,6,16,9,17,2,4,5,1.0,0.0,1.0,0.0
2015-01-24,,21,24,5,13,9,22,0,1,5,2.0,1.0,1.0,0.0
2015-01-25,,15,18,4,11,10,10,0,2,1,0.0,1.0,0.0,0.0
2015-01-26,,12,28,5,7,18,15,2,2,4,0.0,1.0,0.0,0.0
2015-01-27,,18,37,3,12,10,19,2,4,4,0.0,0.0,0.0,1.0
2015-01-28,,17,27,5,12,6,19,1,5,6,0.0,1.0,1.0,0.0
2015-01-29,,19,28,10,6,12,16,2,0,2,2.0,3.0,0.0,1.0
2015-01-30,,23,29,12,9,8,15,1,0,1,0.0,1.0,0.0,0.0
2015-01-31,,18,25,2,15,9,16,1,0,0,0.0,1.0,1.0,0.0
2015-02-01,,24,21,3,5,16,11,1,0,0,1.0,2.0,0.0,0.0
2015-02-02,,16,28,5,12,19,19,1,0,1,1.0,0.0,0.0,2.0
2015-02-03,,17,25,9,9,5,16,0,0,4,0.0,1.0,0.0,0.0
2015-02-04,,24,26,8,6,3,14,0,0,0,1.0,0.0,1.0,2.0
2015-02-05,,15,28,5,8,13,14,0,0,2,2.0,0.0,0.0,0.0
2015-02-06,,19,27,5,11,9,12,0,1,1,2.0,0.0,0.0,0.0
2015-02-07,,21,20,7,10,15,12,0,1,0,1.0,0.0,1.0,0.0
2015-02-08,,24,9,2,6,5,7,0,3,0,1.0,0.0,0.0,0.0
2015-02-09,,20,30,4,11,10,12,1,2,1,0.0,0.0,1.0,1.0
2015-02-10,,11,30,11,6,6,14,0,1,2,0.0,0.0,2.0,0.0
2015-02-11,,18,28,3,5,13,14,0,1,1,0.0,1.0,0.0,0.0
2015-02-12,,20,25,4,11,9,10,4,0,2,0.0,2.0,0.0,0.0
2015-02-13,,16,32,12,17,10,17,0,0,3,0.0,0.0,1.0,0.0
2015-02-14,,18,23,3,7,6,9,0,1,2,0.0,1.0,0.0,1.0
2015-02-15,,15,20,7,3,7,7,0,1,1,0.0,0.0,0.0,0.0
2015-02-16,,8,15,4,11,3,11,1,0,1,0.0,0.0,0.0,0.0
2015-02-17,,16,19,3,11,7,7,0,1,2,0.0,0.0,0.0,1.0
2015-02-18,,14,31,8,5,7,4,0,1,2,0.0,0.0,0.0,1.0
2015-02-19,,12,26,1,13,6,3,1,0,1,0.0,0.0,0.0,0.0
2015-02-20,,15,19,1,19,11,11,1,1,0,0.0,0.0,0.0,0.0
2015-02-21,,14,11,5,10,6,7,0,1,0,0.0,1.0,0.0,0.0
2015-02-22,,19,17,2,9,6,9,0,0,1,1.0,1.0,0.0,0.0
2015-02-23,,18,17,2,5,7,11,0,2,3,0.0,0.0,0.0,2.0
2015-02-24,,21,25,1,9,3,10,0,0,2,0.0,2.0,2.0,1.0
2015-02-25,,15,30,5,10,10,19,1,1,1,1.0,1.0,0.0,1.0
2015-02-26,,17,25,8,6,8,15,1,0,1,0.0,0.0,0.0,0.0
2015-02-27,,15,35,7,9,12,7,0,0,1,0.0,0.0,0.0,0.0
2015-02-28,,22,22,8,9,9,15,3,1,2,0.0,1.0,0.0,0.0
2015-03-01,,12,34,1,5,10,5,1,0,1,0.0,0.0,0.0,0.0
2015-03-02,,15,15,4,10,11,10,0,0,2,0.0,2.0,0.0,1.0
2015-03-03,,16,29,6,5,7,14,1,1,1,0.0,1.0,1.0,0.0
2015-03-04,,16,17,4,13,12,18,0,1,1,0.0,0.0,1.0,4.0
2015-03-05,,11,14,5,4,6,2,0,1,0,0.0,0.0,1.0,0.0
2015-03-06,,12,29,8,5,8,8,2,2,5,1.0,0.0,1.0,1.0
2015-03-07,,14,14,4,8,9,13,2,0,5,2.0,0.0,0.0,0.0
2015-03-08,,19,22,4,12,8,16,1,3,4,0.0,0.0,0.0,2.0
2015-03-09,,19,22,5,7,5,15,1,0,1,1.0,0.0,0.0,0.0
2015-03-10,,19,33,6,6,8,18,0,2,2,0.0,1.0,0.0,2.0
2015-03-11,,19,24,6,13,15,20,2,2,1,0.0,0.0,2.0,2.0
2015-03-12,,17,38,9,11,10,22,1,0,2,0.0,2.0,2.0,1.0
2015-03-13,,24,29,7,5,10,23,2,4,0,0.0,0.0,1.0,0.0
2015-03-14,,23,24,3,11,11,20,0,1,3,1.0,0.0,0.0,3.0
2015-03-15,,10,33,11,6,8,13,2,1,1,0.0,0.0,2.0,0.0
2015-03-16,,17,28,9,8,10,23,1,1,0,2.0,0.0,0.0,0.0
2015-03-17,,27,37,9,7,10,18,2,4,3,0.0,1.0,0.0,2.0
2015-03-18,,22,25,5,6,11,19,0,1,3,0.0,0.0,0.0,2.0
2015-03-19,,18,38,4,5,10,22,0,2,3,1.0,0.0,0.0,0.0
2015-03-20,,20,27,3,13,15,15,2,0,1,0.0,0.0,0.0,0.0
2015-03-21,,12,33,7,11,16,16,1,0,0,2.0,0.0,1.0,0.0
2015-03-22,,19,20,9,9,20,9,0,2,1,0.0,0.0,1.0,0.0
2015-03-23,,16,30,3,9,17,12,1,0,1,0.0,2.0,1.0,1.0
2015-03-24,,22,29,4,10,8,13,1,0,0,1.0,1.0,0.0,4.0
2015-03-25,,21,25,8,10,6,26,0,0,2,0.0,0.0,0.0,0.0
2015-03-26,,18,30,10,8,16,17,0,1,0,0.0,1.0,0.0,0.0
2015-03-27,,23,36,5,8,12,30,1,1,1,1.0,1.0,1.0,1.0
2015-03-28,,18,25,4,6,15,23,2,0,1,1.0,1.0,0.0,1.0
2015-03-29,,20,25,2,8,13,13,0,0,4,0.0,0.0,0.0,0.0
2015-03-30,,21,37,5,8,11,10,1,4,1,3.0,2.0,0.0,0.0
2015-03-31,,24,33,2,5,9,7,0,1,0,3.0,0.0,0.0,0.0
2015-04-01,,24,33,6,13,7,12,0,0,1,0.0,0.0,0.0,3.0
2015-04-02,,18,34,4,11,22,17,7,0,1,0.0,0.0,1.0,0.0
2015-04-03,,19,27,4,9,16,31,2,1,1,0.0,0.0,0.0,1.0
2015-04-04,,24,27,8,11,9,9,0,1,0,0.0,3.0,0.0,0.0
2015-04-05,,26,21,5,7,5,9,1,3,0,2.0,0.0,0.0,0.0
2015-04-06,,20,35,3,7,7,18,0,2,3,2.0,0.0,1.0,1.0
2015-04-07,,8,23,5,7,11,23,2,3,0,2.0,1.0,0.0,1.0
2015-04-08,,12,28,5,12,13,13,1,1,2,0.0,1.0,1.0,1.0
2015-04-09,,14,32,3,14,4,22,0,2,1,0.0,0.0,2.0,0.0
2015-04-10,,17,28,7,5,7,15,0,0,1,0.0,1.0,1.0,1.0
2015-04-11,,19,31,6,13,9,10,0,0,1,1.0,0.0,1.0,2.0
2015-04-12,,23,21,5,5,10,14,0,1,0,0.0,0.0,2.0,3.0
2015-04-13,,14,40,5,6,8,8,1,0,0,1.0,1.0,0.0,1.0
2015-04-14,,17,21,6,8,7,26,0,1,1,0.0,0.0,0.0,1.0
2015-04-15,,25,28,12,9,11,22,1,0,1,1.0,0.0,0.0,0.0
2015-04-16,,19,36,5,9,11,22,0,2,3,0.0,0.0,0.0,2.0
2015-04-17,,8,30,4,10,17,23,2,3,1,0.0,3.0,2.0,2.0
2015-04-18,,35,22,8,8,15,20,2,0,3,0.0,0.0,1.0,3.0
2015-04-19,,23,32,5,11,15,15,0,1,0,0.0,0.0,1.0,0.0
2015-04-20,,25,22,7,9,7,23,1,1,6,1.0,0.0,0.0,0.0
2015-04-21,,23,25,7,10,14,21,2,0,1,0.0,2.0,0.0,0.0
2015-04-22,,19,23,12,8,11,17,1,0,0,1.0,0.0,1.0,2.0
2015-04-23,,23,31,7,14,9,22,0,0,1,0.0,1.0,0.0,2.0
2015-04-24,,14,29,5,8,22,25,1,1,1,0.0,1.0,0.0,2.0
2015-04-25,,24,27,7,14,41,18,1,1,3,0.0,1.0,1.0,0.0
2015-04-26,,12,15,9,8,6,13,2,0,2,3.0,2.0,2.0,2.0
2015-04-27,,11,25,9,29,90,15,0,1,13,10.0,0.0,7.0,1.0
2015-04-28,,8,16,8,5,12,9,5,0,2,14.0,1.0,3.0,3.0
2015-04-29,,19,14,8,6,12,12,2,2,0,4.0,3.0,1.0,0.0
2015-04-30,,17,19,7,10,12,13,3,4,1,1.0,2.0,1.0,2.0
2015-05-01,,13,42,8,9,8,13,2,0,3,1.0,1.0,0.0,0.0
2015-05-02,,16,19,6,9,11,12,1,3,1,1.0,1.0,2.0,0.0
2015-05-03,,25,14,5,8,17,8,1,1,1,2.0,1.0,1.0,1.0
2015-05-04,,13,27,14,10,11,18,4,0,0,0.0,2.0,4.0,1.0
2015-05-05,,23,28,7,16,25,21,4,2,2,0.0,0.0,2.0,0.0
2015-05-06,,15,35,10,12,12,17,0,5,2,1.0,1.0,0.0,0.0
2015-05-07,,23,32,6,11,21,17,6,3,2,1.0,2.0,0.0,1.0
2015-05-08,,25,24,8,10,18,12,0,2,2,3.0,0.0,0.0,2.0
2015-05-09,,26,26,2,13,14,13,2,3,1,1.0,0.0,0.0,3.0
2015-05-10,,38,21,6,8,17,23,5,3,4,3.0,4.0,2.0,1.0
2015-05-11,,21,30,8,14,25,23,5,0,2,0.0,1.0,1.0,0.0
2015-05-12,,32,25,6,9,11,20,2,6,5,1.0,0.0,1.0,0.0
2015-05-13,,19,25,4,22,10,19,2,1,1,0.0,0.0,1.0,0.0
2015-05-14,,23,30,1,12,9,18,0,0,2,1.0,4.0,0.0,2.0
2015-05-15,,24,35,6,11,25,26,3,0,4,0.0,2.0,1.0,3.0
2015-05-16,,13,29,8,13,19,18,8,2,2,0.0,0.0,0.0,0.0
2015-05-17,,17,21,5,12,9,18,0,1,2,1.0,2.0,0.0,1.0
2015-05-18,,20,18,11,16,17,18,3,3,3,0.0,0.0,0.0,1.0
2015-05-19,,21,21,14,11,20,27,6,1,4,0.0,0.0,1.0,1.0
2015-05-20,,20,28,20,10,21,23,9,5,5,3.0,3.0,0.0,1.0
2015-05-21,,23,33,16,12,10,16,1,2,9,1.0,1.0,0.0,0.0
2015-05-22,,24,25,23,13,16,18,2,0,9,2.0,2.0,2.0,0.0
2015-05-23,,15,31,6,8,30,17,5,1,1,2.0,3.0,0.0,2.0
2015-05-24,,16,19,12,13,16,22,6,1,0,2.0,1.0,0.0,0.0
2015-05-25,,18,33,3,9,27,19,7,1,2,0.0,2.0,0.0,1.0
2015-05-26,,28,42,15,19,17,22,3,0,2,0.0,1.0,0.0,2.0
2015-05-27,,17,38,14,20,14,28,2,1,4,0.0,0.0,1.0,0.0
2015-05-28,,18,42,18,17,15,25,1,2,2,0.0,2.0,2.0,1.0
2015-05-29,,21,34,23,15,18,26,2,0,5,0.0,2.0,1.0,1.0
2015-05-30,,20,37,19,25,12,22,5,0,2,1.0,0.0,0.0,1.0
2015-05-31,,27,31,4,13,14,18,3,1,4,3.0,3.0,1.0,0.0
2015-06-01,,25,36,10,10,13,23,1,0,3,1.0,1.0,0.0,2.0
2015-06-02,,19,28,13,13,25,36,3,2,4,2.0,5.0,1.0,0.0
2015-06-03,,18,24,7,8,11,25,0,1,3,0.0,0.0,2.0,1.0
2015-06-04,,13,36,9,20,12,21,0,0,1,0.0,0.0,0.0,3.0
2015-06-05,,19,37,6,17,10,15,0,2,1,1.0,0.0,0.0,0.0
2015-06-06,,26,38,12,15,21,32,4,2,3,1.0,1.0,0.0,1.0
2015-06-07,,29,29,6,17,17,27,3,4,0,3.0,3.0,1.0,2.0
2015-06-08,,17,43,8,14,21,26,3,0,5,0.0,3.0,0.0,1.0
2015-06-09,,13,36,20,13,15,30,3,2,2,1.0,0.0,0.0,0.0
2015-06-10,,22,37,9,14,12,15,3,2,1,0.0,0.0,0.0,0.0
2015-06-11,,18,41,6,20,11,31,0,1,3,0.0,1.0,2.0,0.0
2015-06-12,,16,36,20,16,18,24,3,4,2,1.0,4.0,0.0,0.0
2015-06-13,,26,35,5,23,18,19,0,2,2,3.0,0.0,0.0,1.0
2015-06-14,,27,21,11,16,18,13,4,2,2,0.0,1.0,0.0,1.0
2015-06-15,,20,30,7,27,13,21,1,4,6,0.0,1.0,1.0,1.0
2015-06-16,,23,21,11,13,12,31,1,0,3,1.0,1.0,0.0,0.0
2015-06-17,,22,35,12,17,14,26,6,1,2,0.0,0.0,2.0,1.0
2015-06-18,,10,32,11,15,10,24,2,0,2,0.0,0.0,2.0,2.0
2015-06-19,,18,40,8,18,15,25,3,0,0,0.0,0.0,1.0,3.0
2015-06-20,,31,21,9,18,16,25,1,2,5,0.0,0.0,1.0,0.0
2015-06-21,,28,28,10,22,17,18,2,4,0,0.0,1.0,0.0,1.0
2015-06-22,,27,32,5,20,21,39,3,1,3,0.0,1.0,2.0,2.0
2015-06-23,,17,29,8,12,19,30,1,0,11,0.0,1.0,0.0,1.0
2015-06-24,,10,30,5,17,15,30,1,1,4,2.0,0.0,1.0,0.0
2015-06-25,,17,39,10,19,13,22,0,4,7,2.0,1.0,0.0,1.0
2015-06-26,,38,31,6,14,12,14,1,1,5,1.0,0.0,0.0,1.0
2015-06-27,,20,27,8,17,12,18,0,2,8,2.0,1.0,0.0,1.0
2015-06-28,,25,33,8,24,15,17,5,0,6,0.0,2.0,1.0,2.0
2015-06-29,,24,27,21,11,25,31,6,2,3,1.0,1.0,1.0,1.0
2015-06-30,,21,25,9,10,13,14,5,0,5,1.0,0.0,0.0,1.0
2015-07-01,,13,31,11,15,15,21,6,1,6,0.0,0.0,2.0,2.0
2015-07-02,,18,31,5,18,31,21,5,2,8,1.0,2.0,0.0,0.0
2015-07-03,,16,33,10,17,16,24,2,1,9,1.0,1.0,1.0,0.0
2015-07-04,,25,27,8,19,15,18,2,1,2,4.0,0.0,1.0,4.0
2015-07-05,,26,19,11,15,18,18,1,0,1,2.0,1.0,3.0,2.0
2015-07-06,,15,22,11,13,13,28,1,1,5,2.0,2.0,2.0,0.0
2015-07-07,,26,38,15,15,11,28,2,2,2,1.0,5.0,1.0,0.0
2015-07-08,,17,30,13,18,16,25,1,2,1,0.0,1.0,2.0,1.0
2015-07-09,,20,19,16,23,20,20,3,1,4,0.0,0.0,1.0,0.0
2015-07-10,,18,39,11,15,14,22,2,1,2,1.0,2.0,0.0,1.0
2015-07-11,,20,25,8,16,20,24,4,1,4,0.0,3.0,3.0,0.0
2015-07-12,,25,28,19,17,25,20,7,0,1,0.0,4.0,1.0,1.0
2015-07-13,,26,34,17,13,12,21,2,2,2,1.0,2.0,3.0,0.0
2015-07-14,,14,46,11,14,20,24,2,1,5,2.0,0.0,1.0,0.0
2015-07-15,,11,29,14,19,21,30,7,0,1,0.0,3.0,0.0,0.0
2015-07-16,,16,28,12,11,7,35,1,1,5,2.0,0.0,0.0,0.0
2015-07-17,,24,22,11,21,15,20,1,1,0,1.0,0.0,0.0,1.0
2015-07-18,,29,25,12,19,18,20,2,1,1,0.0,0.0,2.0,0.0
2015-07-19,,16,31,12,26,21,22,1,2,2,0.0,1.0,1.0,1.0
2015-07-20,,21,35,9,21,19,26,3,0,1,2.0,0.0,0.0,1.0
2015-07-21,,18,31,11,16,11,17,2,0,4,2.0,3.0,0.0,0.0
2015-07-22,,13,28,9,15,20,22,6,2,4,0.0,1.0,1.0,0.0
2015-07-23,,27,37,10,11,12,26,1,0,4,1.0,2.0,0.0,1.0
2015-07-24,,23,29,8,16,19,15,2,1,4,1.0,1.0,2.0,0.0
2015-07-25,,22,46,13,17,20,15,3,0,4,1.0,1.0,1.0,1.0
2015-07-26,,20,35,9,16,26,27,4,7,0,0.0,2.0,2.0,0.0
2015-07-27,,21,23,9,22,16,26,3,1,8,1.0,1.0,1.0,0.0
2015-07-28,,22,42,9,17,13,18,0,0,2,1.0,2.0,1.0,0.0
2015-07-29,,18,22,11,12,13,17,3,2,4,1.0,2.0,3.0,0.0
2015-07-30,,14,35,12,19,13,13,1,2,1,3.0,1.0,1.0,0.0
2015-07-31,,14,40,7,15,16,23,1,2,2,1.0,2.0,0.0,1.0
2015-08-01,,33,34,11,19,13,21,1,3,1,0.0,1.0,0.0,2.0
2015-08-02,,23,33,9,23,19,20,8,1,1,1.0,2.0,0.0,0.0
2015-08-03,,19,34,8,16,14,16,2,4,3,1.0,0.0,0.0,0.0
2015-08-04,,12,42,7,19,10,25,0,1,2,0.0,0.0,1.0,0.0
2015-08-05,,13,38,5,16,12,20,1,0,3,0.0,0.0,0.0,0.0
2015-08-06,,19,23,7,20,14,27,0,0,1,0.0,3.0,0.0,0.0
2015-08-07,,19,38,10,14,16,32,7,1,2,0.0,1.0,2.0,0.0
2015-08-08,,31,31,14,16,14,32,2,0,0,0.0,0.0,0.0,2.0
2015-08-09,,26,21,11,16,17,27,2,2,2,0.0,3.0,0.0,3.0
2015-08-10,,14,38,11,15,16,13,7,0,5,1.0,2.0,2.0,3.0
2015-08-11,,19,30,12,10,12,21,0,1,0,0.0,0.0,0.0,1.0
2015-08-12,,18,22,10,16,7,19,1,2,5,1.0,1.0,1.0,0.0
2015-08-13,,25,31,6,8,20,29,1,2,3,1.0,3.0,0.0,3.0
2015-08-14,,25,31,4,18,13,31,4,4,0,0.0,1.0,1.0,0.0
2015-08-15,,20,31,8,19,12,23,0,0,3,1.0,0.0,1.0,2.0
2015-08-16,,20,22,9,14,16,19,1,1,4,0.0,1.0,1.0,2.0
2015-08-17,,14,35,7,15,12,25,4,2,1,0.0,1.0,0.0,1.0
2015-08-18,,16,36,5,19,12,23,1,3,5,2.0,2.0,0.0,0.0
2015-08-19,,16,34,9,13,15,25,5,0,6,1.0,2.0,1.0,1.0
2015-08-20,,16,27,9,17,20,23,2,0,1,0.0,2.0,0.0,1.0
2015-08-21,,17,39,7,18,13,31,0,1,1,0.0,0.0,3.0,0.0
2015-08-22,,27,32,11,17,19,18,0,1,3,3.0,1.0,1.0,0.0
2015-08-23,,24,28,18,23,9,28,1,2,1,2.0,0.0,0.0,1.0
2015-08-24,,16,31,20,17,16,21,0,2,1,0.0,0.0,2.0,0.0
2015-08-25,,12,34,18,16,13,31,1,1,7,1.0,0.0,2.0,1.0
2015-08-26,,14,42,8,12,12,20,5,0,1,1.0,2.0,4.0,0.0
2015-08-27,,18,35,5,12,16,28,4,1,5,0.0,2.0,0.0,0.0
2015-08-28,,9,39,6,15,12,21,3,2,2,1.0,1.0,0.0,0.0
2015-08-29,,16,26,3,19,18,21,1,1,3,2.0,1.0,2.0,0.0
2015-08-30,,18,31,15,13,15,19,2,1,2,0.0,1.0,2.0,0.0
2015-08-31,,17,43,9,19,9,25,4,2,5,1.0,1.0,0.0,3.0
2015-09-01,,18,42,6,12,14,23,3,2,4,1.0,2.0,0.0,0.0
2015-09-02,,14,39,6,11,14,18,3,1,3,3.0,0.0,0.0,0.0
2015-09-03,,20,33,6,10,11,16,4,1,3,0.0,2.0,0.0,0.0
2015-09-04,,23,33,5,14,17,17,1,3,1,0.0,1.0,1.0,0.0
2015-09-05,,25,24,11,16,11,37,2,1,1,1.0,0.0,1.0,1.0
2015-09-06,,25,22,8,25,7,15,3,1,1,0.0,0.0,1.0,1.0
2015-09-07,,24,30,10,16,29,24,1,2,1,2.0,1.0,0.0,1.0
2015-09-08,,26,23,7,19,10,15,0,0,5,0.0,0.0,0.0,0.0
2015-09-09,,16,23,11,13,19,24,0,2,0,1.0,0.0,1.0,0.0
2015-09-10,,17,41,10,15,16,23,1,3,0,0.0,0.0,1.0,1.0
2015-09-11,,27,38,11,12,19,27,4,0,0,0.0,3.0,0.0,1.0
2015-09-12,,18,25,7,14,16,22,5,0,2,0.0,1.0,0.0,2.0
2015-09-13,,23,21,18,17,18,27,1,0,0,1.0,1.0,1.0,1.0
2015-09-14,,11,39,7,13,15,23,0,1,2,0.0,1.0,0.0,0.0
2015-09-15,,22,34,14,13,11,21,2,2,0,0.0,2.0,0.0,2.0
2015-09-16,,19,31,13,9,25,27,4,0,0,0.0,1.0,0.0,1.0
2015-09-17,,18,38,9,16,19,26,2,1,4,2.0,0.0,0.0,1.0
2015-09-18,,21,30,6,23,12,22,2,1,4,4.0,1.0,1.0,0.0
2015-09-19,,18,29,16,11,12,21,0,0,2,1.0,2.0,0.0,0.0
2015-09-20,,21,22,15,10,23,28,2,0,3,2.0,0.0,1.0,3.0
2015-09-21,,19,41,8,12,15,19,3,0,2,0.0,2.0,1.0,1.0
2015-09-22,,24,38,13,12,16,26,4,0,5,1.0,1.0,2.0,0.0
2015-09-23,,16,39,12,16,13,31,2,0,4,0.0,1.0,1.0,1.0
2015-09-24,,21,26,7,9,9,24,1,0,2,4.0,1.0,1.0,1.0
2015-09-25,,21,35,11,10,13,24,0,0,3,0.0,0.0,0.0,1.0
2015-09-26,,14,30,13,8,11,16,0,0,4,2.0,0.0,0.0,3.0
2015-09-27,,30,28,8,15,8,14,3,1,3,2.0,0.0,1.0,0.0
2015-09-28,,19,38,7,15,11,23,2,0,3,0.0,1.0,0.0,1.0
2015-09-29,,15,41,1,7,17,19,0,1,3,0.0,1.0,1.0,1.0
2015-09-30,,19,36,10,12,6,26,1,2,3,0.0,2.0,1.0,1.0
2015-10-01,,18,31,12,18,5,12,1,0,2,2.0,0.0,1.0,1.0
2015-10-02,,15,26,10,10,14,25,5,1,1,0.0,3.0,1.0,0.0
2015-10-03,,22,15,6,12,6,17,0,1,2,0.0,2.0,0.0,1.0
2015-10-04,,5,23,10,16,10,14,2,0,2,2.0,2.0,1.0,0.0
2015-10-05,,21,43,17,14,13,14,0,3,2,0.0,1.0,0.0,0.0
2015-10-06,,20,29,8,11,23,13,5,0,5,0.0,0.0,0.0,1.0
2015-10-07,,25,41,11,11,9,16,0,1,2,2.0,2.0,0.0,1.0
2015-10-08,,23,28,5,15,13,17,1,1,2,2.0,1.0,0.0,0.0
2015-10-09,,24,34,11,11,16,23,0,1,3,0.0,0.0,0.0,0.0
2015-10-10,,17,24,11,15,21,20,1,2,0,0.0,0.0,0.0,4.0
2015-10-11,,20,29,10,17,6,24,2,0,0,1.0,1.0,2.0,2.0
2015-10-12,,22,33,6,8,10,17,2,1,1,0.0,2.0,0.0,0.0
2015-10-13,,28,32,11,10,10,13,0,1,1,2.0,1.0,0.0,0.0
2015-10-14,,21,24,8,15,16,26,1,1,1,1.0,0.0,2.0,1.0
2015-10-15,,21,37,4,10,16,24,1,1,0,1.0,2.0,1.0,0.0
2015-10-16,,19,37,12,14,7,15,0,0,2,0.0,2.0,0.0,1.0
2015-10-17,,20,19,14,9,7,24,1,0,1,1.0,1.0,2.0,0.0
2015-10-18,,23,26,2,8,8,31,1,2,3,1.0,0.0,0.0,1.0
2015-10-19,,23,30,4,6,7,9,2,0,1,0.0,0.0,3.0,0.0
2015-10-20,,21,37,12,16,11,23,3,3,2,0.0,1.0,0.0,0.0
2015-10-21,,14,41,8,17,18,21,2,1,1,3.0,2.0,0.0,1.0
2015-10-22,,21,34,12,10,10,21,4,1,3,0.0,2.0,0.0,1.0
2015-10-23,,21,35,5,20,15,27,4,0,2,1.0,0.0,0.0,0.0
